,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
,"Advance Selling by a Newsvendor Retailer","Prasad, Ashutosh and Stecke, Kathryn E. and Zhao, Xuying","PRODUCTION AND OPERATIONS MANAGEMENT","20","1","129-142","2011","JAN-FEB","Advance Selling;Newsvendor;Consumer Valuation;Uncertainty;Pricing","","Retailers often face a newsvendor problem. Advance selling helps retailers to reduce demand uncertainty. Consumers, however, may prefer not to purchase in advance unless given a discount because they are uncertain about their valuation for the product in advance. It is then unclear whether or when advance selling to pass some uncertainty risk to consumers is optimal for the retailer. This paper examines the advance selling price and inventory decisions in a two-period setting, where the first period is the advance selling period and the second is the selling (and consumption) period. We find that an advance selling strategy is not always optimal, but is contingent on parameters of the market (e.g., market potential and uncertainty) and the consumers (e.g., valuation, risk aversion, and heterogeneity). For example, we find that retailers should sell in advance if the consumers' expected valuation exceeds consumers' expected surplus when not buying early by a certain threshold. This threshold increases with the degree of risk aversion but decreases with stock out risk. If the degree of risk aversion varies across consumers, then a retailer should sell in advance if the probability for a consumer to spot buy is less than a critical fractile."
,"A Dynamic Disaggregation Approach to Approximate Linear Programs for Network Revenue Management","Vossen, Thomas W. M. and Zhang, Dan","PRODUCTION AND OPERATIONS MANAGEMENT","24","3","469-487","2015","MAR","Network Revenue Management;Choice Behavior;Dynamic Programming;Linear Programming","","The linear programming approach to approximate dynamic programming has received considerable attention in the recent network revenue management (RM) literature. A major challenge of the approach lies in solving the resulting approximate linear programs (ALPs), which often have a huge number of constraints and/or variables. Starting from a recently developed compact affine ALP for network RM, we develop a novel dynamic disaggregation algorithm to solve the problem, which combines column and constraint generation and exploits the structure of the underlying problem. We show that the formulation can be further tightened by considering structural properties satisfied by an optimal solution. We prove that the sum of dynamic bid-prices across resources is concave over time. We also give a counterexample to demonstrate that the dynamic bid-prices of individual resources are not concave in general. Numerical experiments demonstrate that dynamic disaggregation is often orders of magnitude faster than existing algorithms in the literature for problem instances with and without choice. In addition, adding the concavity constraints can further speed up the algorithm, often by an order of magnitude, for problem instances with choice."
,"Benefits of Hybrid Lateral Transshipments in Multi-Item Inventory Systems under Periodic Replenishment","Glazebrook, Kevin and Paterson, Colin and Rauscher, Sandra and Archibald, Thomas","PRODUCTION AND OPERATIONS MANAGEMENT","24","2","311-324","2015","FEB","Inventory Control;Multi-Item;Lateral Transshipments;Dynamic Programming","","Lateral transshipments are a method of responding to shortages of stock in a network of inventory-holding locations. Conventional reactive approaches only seek to meet immediate shortages. The study proposes hybrid transshipments which exploit economies of scale by moving additional stock between locations to prevent future shortages in addition to meeting immediate ones. The setting considered is motivated by retailers who operate networks of outlets supplying car parts via a system of periodic replenishment. It is novel in allowing non-stationary stochastic demand and general patterns of dependence between multiple item types. The generality of our work makes it widely applicable. We develop an easy-to-compute quasi-myopic heuristic for determining how hybrid transshipments should be made. We obtain simple characterizations of the heuristic and demonstrate its strong cost performance in both small and large networks in an extensive numerical study."
,"Integrality in Stochastic Inventory Models","Chen, Wei and Dawande, Milind and Janakiraman, Ganesh","PRODUCTION AND OPERATIONS MANAGEMENT","23","9","1646-1663","2014","SEP","Integrality;Stochastic Inventory Control;Total Unimodularity;Multi-Dimensional Piecewise Linearity","","We study several finite-horizon, discrete-time, dynamic, stochastic inventory control models with integer demands: the newsvendor model, its multi-period extension, and a single-product, multi-echelon assembly model. Equivalent linear programs are formulated for the corresponding stochastic dynamic programs, and integrality results are derived based on the total unimodularity of the constraint matrices. Specifically, for all these models, starting with integer inventory levels, we show that there exist optimal policies that are integral. For the most general single-product, multi-echelon assembly system model, integrality results are also derived for a practical alternative to stochastic dynamic programming, namely, rolling-horizon optimization by a similar argument. We also present a different approach to prove integrality results for stochastic inventory models. This new approach is based on a generalization we propose for the one-dimensional notion of piecewise linearity with integer breakpoints to higher dimensions. The usefulness of this new approach is illustrated by establishing the integrality of both the dynamic programming and rolling-horizon optimization models of a two-product capacitated stochastic inventory control system."
,"Integration and Cospecialization of Emerging Complementary Technologies by Startups","Anderson, Jr., Edward G. and Parker, Geoffrey G.","PRODUCTION AND OPERATIONS MANAGEMENT","22","6","1356-1373","2013","NOV","Startups;Complementary Technologies;Integration;Renewable Energy;System Dynamics","","We analyze the market entry problem faced by startups that must integrate their service or product with one or more complementary technologies. The problem is especially challenging when the complementary technologies have uncertain cost reduction potentials. The entrepreneurship literature suggests that startups should pursue focused strategies for various reasons, including bounded rationality and budget constraints, but generally overlooks startups entering markets with complementary technologies. The advice for mature firms investing in complementary technologies is often to diversify investment across multiple complements to manage technological uncertainty. Given competing guidance, we seek to extend the entrepreneurship literature by modeling startups' entry decisions for markets in which complementary technologies exhibit strong learning effects. We find that, consistent with the extant entrepreneurship literature, startups generally achieve higher expected returns by channeling their integration investment to only one complementary technology. However, the mechanisms driving our results differ significantly by hinging on nonlinear feedback effects that occur when firms concentrate integration investment in only one complementary technology. Interestingly, this focused strategy often does not yield the highest market share or the lowest likelihood of bankruptcy. We characterize the situations under which each finding holds and describe the implications of these findings for theory, practice, and policy."
,"Reassessing Tradeoffs Inherent to Simultaneous Maintenance and Production Planning","Batun, Sakine and Maillart, Lisa M.","PRODUCTION AND OPERATIONS MANAGEMENT","21","2","396-403","2012","MAR-APR","Production Scheduling;Equipment Maintenance;Markov Decision Processes;First-Come-First-Serve","","Previous work has considered the simultaneous (as opposed to sequential) optimization of a maintenance policy and a production policy in a multi-product setting with random yield and product mix constraints. One of the sequential approaches to which the simultaneous approach is compared is a so-called first-come-first-served (FCFS) approach, i.e., an approach that generates randomized production policies that do not depend on the deterioration state of the machine. However, the model formulation for this approach does not generate policies consistent with this FCFS notion. Therefore, we present a revised FCFS model and analyze its performance using an existing experimental design. The results suggest that previous work overestimates the degree to which a FCFS approach is suboptimal, and underestimates the value of simultaneously optimizing the maintenance and production decisions. Lastly, we conduct additional experiments which suggest that the joint impact of using both simultaneous optimization and a deterioration dependent production policy is quite significant."
Relevant to Marketing,"Optimal Search for Product Information","Branco, Fernando and Sun, Monic and Villas-Boas, J. Miguel","MANAGEMENT SCIENCE","58","11","2037-2056","2012","NOV","Marketing;Pricing;Search Costs;Information;Learning","","Consumers often need to search for product information before making purchase decisions. We consider a tractable (continuous-time) model of gradual learning, in which consumers incur search costs to learn further product information, and update their expected utility of the product at each search occasion. We characterize the optimal stopping rules for either purchase, or no purchase, as a function of search costs and of the importance/informativeness of each attribute. This paper also characterizes how the likelihood of purchase changes with the ex ante expected utility, search costs, and the importance/informativeness of each attribute. We discuss optimal pricing, the impact of consumer search on profits and social welfare, and how the seller chooses its price to strategically affect the extent of the consumers' search behavior. We show that lower search costs can hurt the consumer because the seller may then choose to charge higher prices. Discounting creates asymmetry in the purchase and no-purchase search thresholds, and may lead to lower prices if search occurs in equilibrium, or higher prices if there is no search in equilibrium. This paper also considers searching for signals of the value of the product, heterogeneous importance of attributes, endogenous intensity of search, and social learning."
,"Label Confusion: The Groucho Effect of Uncertain Standards","Harbaugh, Rick and Maxwell, John W. and Roussillon, Beatrice","MANAGEMENT SCIENCE","57","9","1512-1527","2011","SEP","Marketing;Communications;Information Theory;Environment","","abels certify that a product meets some standard for quality, but often consumers are unsure of the exact standard that the label represents. Focusing on the case of ecolabels for environmental quality, we show how even small amounts of uncertainty can create consumer confusion that reduces or eliminates the value to firms of adopting voluntary labels. First, consumers are most suspicious of a label when a product with a bad reputation has it, so labels are often unpersuasive at showing that a seemingly bad product is actually good. Second, label proliferation aggravates the effect of uncertainty, causing the informativeness of labels to decrease rather than increase. Third, uncertainty makes labeling and nonlabeling equilibria more likely to coexist as the number of labels increases, so consumers face greater strategic uncertainty over how to interpret the presence or absence of a label. Finally, a label can be legitimitized or spoiled for other products when a product with a good or bad reputation displays it, so firms may adopt labels strategically to manipulate such information spillovers, which further exacerbates label confusion. Managers can reduce label confusion by supporting mandatory labeling or by undertaking investments to make certain labels focal."
,"An Investigation of Earnings Management Through Marketing Actions","Chapman, Craig J. and Steenburgh, Thomas J.","MANAGEMENT SCIENCE","57","1","72-92","2011","JAN","Accounting;Marketing;Pricing;Promotion;Real Earnings Management","","Prior research hypothesizes managers use real actions, including the reduction of discretionary expenditures, to manage earnings to meet or beat key benchmarks. This paper examines this hypothesis by testing how different types of marketing expenditures are used to boost earnings for a durable commodity consumer product that can be easily stockpiled by end consumers. Combining supermarket scanner data with firm-level financial data, we find evidence that differs from prior literature. Instead of reducing expenditures to boost earnings, soup manufacturers roughly double the frequency and change the mix of marketing promotions (price discounts, feature advertisements, and aisle displays) at the fiscal quarter-end when they have greater incentive to boost earnings. Our results confirm managers' stated willingness to sacrifice long-term value in order to smooth earnings and their stated preference to use real actions to boost earnings to meet different types of earnings benchmarks. We estimate that marketing actions can be used to boost quarterly net income by up to 5% depending on the depth and duration of promotion. However, there is a price to pay, with the cost in the following period being approximately 7.5% of quarterly net income. Finally, a unique aspect of the research setting allows tests of who is responsible for the earnings management. Although firms appear unable to increase the frequency of aisle display promotions in the short run, they can reallocate these promotions within their portfolio of brands. Results show firms shifting display promotions away from smaller revenue brands toward larger ones following periods of poor financial performance. This indicates the behavior is determined by parties above brand managers in the firm. These findings are consistent with firms engaging in real earnings management and suggest that effects on subsequent reporting periods and competitor behavior are greater than previously documented."
,"Media, Aggregators, and the Link Economy: Strategic Hyperlink Formation in Content Networks","Dellarocas, Chrysanthos and Katona, Zsolt and Rand, William","MANAGEMENT SCIENCE","59","10","2360-2379","2013","OCT","Media Economics;News And Journalism;Content Strategies;Network Formation;Marketing","","A defining property of the World Wide Web is a content site's ability to place virtually costless hyperlinks to third-party content as a substitute or complement to its own content. Costless hyperlinking has enabled new types of players, usually referred to as content aggregators, to successfully enter content ecosystems, attracting traffic and revenue by hosting links to the content of others. This, in turn, has sparked a heated controversy between content creators and aggregators regarding the legitimacy and costs/benefits of uninhibited free linking. To our knowledge, this work is the first to model the complex interplay between content and links in settings where a set of sites compete for traffic. We develop a series of analytical models that distill how hyperlinking affects the (a) incentives of content nodes to produce quality content versus link to third-party content, (b) profits of the various stakeholders, (c) average quality of content that becomes available to consumers, and (d) impact of content aggregators. Our results provide a nuanced view of the so-called link economy, highlighting both the beneficial consequences and the drawbacks of free hyperlinks for content creators and consumers."
Relevant to Transportation,"The Fixed Charge Transportation Problem: An Exact Algorithm Based on a New Integer Programming Formulation","Roberti, Roberto and Bartolini, Enrico and Mingozzi, Aristide","MANAGEMENT SCIENCE","61","6","1275-1291","2015","JUN","Transportation;Fixed Charge;Column Generation","","The fixed charge transportation problem generalizes the well-known transportation problem where the cost of sending goods from a source to a sink is composed of a fixed cost and a continuous cost proportional to the amount of goods sent. In this paper, we describe a new integer programming formulation with exponentially many variables corresponding to all possible flow patterns to sinks. We show that the linear relaxation of the new formulation is tighter than that of the standard mixed integer programming formulation. We describe different classes of valid inequalities for the new formulation and a column generation method to compute a valid lower bound embedded into an exact branch-and-price algorithm. Computational results on test problems from the literature show that the new algorithm outperforms the state-of-the-art exact methods from the literature and can solve instances with up to 70 sources and 70 sinks. Data, as supplemental material, are available at http://dx.doi.org/10.1287/mnsc.2014.1947."
Not Relevant to All Fields,"Expectations as Reference Points: Field Evidence from Professional Soccer","Bartling, Bjoern and Brandes, Leif and Schunk, Daniel","MANAGEMENT SCIENCE","61","11","2646-2661","2015","NOV","Reference Points;Expectations;Field Data","","We show that professional soccer players and their coaches exhibit reference-dependent behavior during matches. Controlling for the state of the match and for unobserved heterogeneity, we show on a minute-by-minute basis that players breach the rules of the game, measured by the referee's assignment of cards, significantly more often if their teams are behind the expected match outcome, measured by preplay betting odds of large professional bookmakers. We further show that coaches implement significantly more offensive substitutions if their teams are behind expectations. Both types of behaviors impair the expected ultimate match outcome of the team, which shows that our findings do not simply reflect fully rational responses to reference-dependent incentive schemes of favorite teams to falling behind. We derive these results in a data set that contains more than 8,200 matches from 12 seasons of the German Bundesliga and 12 seasons of the English Premier League."
,"Advance Selling: Effects of Interdependent Consumer Valuations and Seller's Capacity","Yu, Man and Kapuscinski, Roman and Ahn, Hyun-Soo","MANAGEMENT SCIENCE","61","9","2100-2117","2015","SEP","Advance Selling;Interdependent Valuation;Capacity Rationing","","We examine the impact of consumer valuation interdependence and capacity on a firm's optimal selling strategies. We consider a seller who can offer a single product to consumers twice, in advance and in spot. Consumers choose whether and when to buy, but if they buy in advance, they are uncertain about their own valuations. Whether they buy in advance or in spot, consumers' valuations are realized in the spot period and they may range from fully independent to perfectly correlated, creating markets with different characteristics of aggregate demand for the seller. Facing these consumers, the seller chooses a portion of the total capacity to offer in advance and prices in both periods. We describe how the optimal strategy and benefits of advance selling depend on the interdependence of consumer valuation, as well as capacity level and other market parameters. We find that a change in valuation interdependence can lead to dramatically different policies for the seller. For example, when individual valuations are highly diverse and the consumer population is large, the seller must offer a discount during advance selling but may limit the advance sales. On the other hand, when valuations are highly correlated, the seller can charge a premium price during advance selling. For the same valuation interdependence, the qualitative nature of the optimal strategy changes with available capacity."
,"Dynamic Experiments for Estimating Preferences: An Adaptive Method of Eliciting Time and Risk Parameters","Toubia, Olivier and Johnson, Eric and Evgeniou, Theodoros and Delquie, Philippe","MANAGEMENT SCIENCE","59","3","613-640","2013","MAR","Prospect Theory;Time Discounting;Bayesian Statistics;Adaptive Experimental Design;Revealed Preference","","We present a method that dynamically designs elicitation questions for estimating risk and time preference parameters. Typically these parameters are elicited by presenting decision makers with a series of static choices between alternatives, gambles, or delayed payments. The proposed method dynamically (i.e., adaptively) designs such choices to optimize the information provided by each choice, while leveraging the distribution of the parameters across decision makers (heterogeneity) and capturing response error. We explore the convergence and the validity of our approach using simulations. The simulations suggest that the proposed method recovers true parameter values well under various circumstances. We then use an online experiment to compare our approach to a standard one used in the literature that requires comparable task completion time. We assess predictive accuracy in an out-of-sample task and completion time for both methods. For risk preferences, our results indicate that the proposed method predicts subjects' willingness to pay for a set of out-of-sample gambles significantly more accurately, while taking respondents about the same time to complete. For time preferences, both methods predict out-of-sample preferences equally well, while the proposed method takes significantly less completion time. For risk and time preferences, average completion time for our approach is approximately three minutes. Finally, we briefly review three applications that used the proposed methodology with various populations, and we discuss the potential benefits of the proposed methodology for research and practice."
,"The Role of Experience Sampling and Graphical Displays on One's Investment Risk Appetite","Kaufmann, Christine and Weber, Martin and Haisley, Emily","MANAGEMENT SCIENCE","59","2","323-340","2013","FEB","Risk Taking;Asset Allocation;Risk Perception;Experience-Description Gap;Presentation Format","","Financial professionals have a great deal of discretion concerning how to relay information about the risk of financial products to their clients. This paper introduces a new risk tool to communicate the risk of investment products, and it examines how different risk-presentation modes influence risk-taking behavior and investors' recall ability of the risk-return profile of financial products. We analyze four different ways of communicating risk: (i) numerical descriptions, (ii) experience sampling, (iii) graphical displays, and (iv) a combination of these formats in the risk tool. Participants receive information about a risky and a risk-free fund and make an allocation between the two in an experimental investment portfolio. We find that risky allocations are elevated in both the risk tool and experience sampling conditions. Greater risky allocations in the risk tool condition are associated with decreased risk perception, increased confidence in the risky fund, and a lower estimation of the probability of a loss. In addition to these favorable perceptions of the risky fund, participants in the risk tool condition are more accurate on recall questions regarding the expected return and the probability of a loss. We find no evidence of greater dissatisfaction with returns in these conditions, and we observe a willingness to take on similar levels of risk in subsequent allocations."
,"Solving Constrained Consumption-Investment Problems by Simulation of Artificial Market Strategies","Bick, Bjoern and Kraft, Holger and Munk, Claus","MANAGEMENT SCIENCE","59","2","485-503","2013","FEB","Optimal Consumption And Investment;Numerical Solution;Labor Income;Incomplete Markets;Artificially Unconstrained Markets;Welfare Loss","","Utility-maximizing consumption and investment strategies in closed form are unknown for realistic settings involving portfolio constraints, incomplete markets, and potentially a high number of state variables. Standard numerical methods are hard to implement in such cases. We propose a numerical procedure that combines the abstract idea of artificial, unconstrained complete markets, well-known closed-form solutions in affine or quadratic return models, straightforward Monte Carlo simulation, and a standard iterative optimization routine. Our method provides an upper bound on the wealth-equivalent loss compared to the unknown optimal strategy, and it facilitates our understanding of the economic forces at play by building on closed-form expressions for the strategies considered. We illustrate and test our method on the life-cycle problem of an individual who receives unspanned labor income and cannot borrow or short sell. The upper loss bound is small, and our method performs well in comparison with two existing methods."
,"Reflected Knowledge and Trust in Global Collaboration","Mortensen, Mark and Neeley, Tsedal B.","MANAGEMENT SCIENCE","58","12","2207-2224","2012","DEC","Global Work;Organizational Studies;Behavior;Trust","","Scholars argue that direct knowledge about distant colleagues is crucial for fostering trust in global collaboration. However, their arguments focus mainly on how trust accrues from knowledge about distant collaborators' personal characteristics, relationships, and behavioral norms. We suggest that an equally important trust mechanism is reflected knowledge, knowledge that workers gain about the personal characteristics, relationships, and behavioral norms of their own site through the lens of their distant collaborators. Based on surveys gathered from 140 employees in a division of a global chemical company, we found that direct knowledge and reflected knowledge enhanced trust in distinct ways. Although both enhanced feelings of closeness with others, results indicate that direct knowledge increased focal actors' understanding of their distant colleagues, whereas reflected knowledge promoted feelings of being understood. We discuss implications of reflected knowledge to theories of trust and interpersonal dynamics in globally distributed collaboration."
,"Link to Success: How Blogs Build an Audience by Promoting Rivals","Mayzlin, Dina and Yoganarasimhan, Hema","MANAGEMENT SCIENCE","58","9","1651-1668","2012","SEP","Game Theory;Social Media;Linking;Signaling;Blogs","","Empirically, we find that Web logs (or blogs) often link to other blogs in the same category. We present an analytical model that explains why a rational blogger may choose to link to another blog. We allow bloggers to differ along two dimensions: (1) the ability to post news-breaking content, and (2) the ability to find news in other blogs. By linking, a blog signals to the reader that it will be able to direct her to news in other blogs in the future. The downside of a link is that it is a positive signal on the rival's news-breaking ability. We show that linking will be in equilibrium when the heterogeneity on the ability to break news is low relative to the heterogeneity on the ability to find news in other blogs. One implication of the linking mechanism is that blogs that are high on the news-breaking ability are more likely to gain readers. Hence, despite the fact that bloggers link for purely selfish reasons, the macro effects of this activity is that readers' learning is enhanced."
,"Home Sweet Home: Entrepreneurs' Location Choices and the Performance of Their Ventures","Dahl, Michael S. and Sorenson, Olav","MANAGEMENT SCIENCE","58","6","1059-1071","2012","JUN","Organizational Studies;Effectiveness-Performance;Behavior;Economics;Econometrics","","Entrepreneurs, even more than employees, tend to locate in regions in which they have deep roots (home regions). Here, we examine the performance implications of these choices. Whereas one might expect entrepreneurs to perform better in these regions because of their richer endowments of regionally embedded social capital, they might also perform worse if their location choices rather reflect a preference for spending time with family and friends. We examine this question using comprehensive data on Danish start-ups. Ventures perform better-survive longer and generate greater annual profits and cash flows-when located in regions in which their founders have lived longer. This effect appears substantial, similar in size to the value of prior experience in the industry (i.e., to being a spin-off)."
,"Modeling Purchasing Behavior with Sudden Death: A Flexible Customer Lifetime Model","Bemmaor, Albert C. and Glady, Nicolas","MANAGEMENT SCIENCE","58","5","1012-1021","2012","MAY","Buyer Behavior;Mixture Models;Catalog Retailing;Gompertz Distribution","","T his study proposes a new customer lifetime model: the gamma/Gompertz distribution (G/G). The advantage of this model relative to the well-known Pareto distribution is twofold: (i) its probability density function can exhibit a mode at zero or an interior mode, and (ii) it can be skewed to the right or to the left. We combine the G/G with a negative binomial distribution (NBD) and obtain the moments of the distribution of the number of transactions over (0, T] and (T, T + T{*}]. Out of six data sets, the G/G/NBD model provides a notable improvement in the log-likelihood over the Pareto/NBD model in four data sets. It can indicate substantial differences in expected residual lifetimes compared to the Pareto/NBD and induce a retention rather than acquisition policy. On the average, the G/G/NBD exhibits slightly better forecasts of the mean number of transactions than the Pareto/NBD."
,"On Evaluation Costs in Strategic Factor Markets: The Implications for Competition and Organizational Design","Ross, David Gaddis","MANAGEMENT SCIENCE","58","4","791-804","2012","APR","Strategy;Organizational Studies;Design;Motivation-Incentives","","This paper uses a formal model to study how evaluation costs affect competition for resources in strategic factor markets. It finds that relative scarcity may not always benefit resource sellers. Rather, when competition among resource investors passes a certain threshold intensity, miscoordination among investors increases to the point that sellers' expected profits decline. This paper extends the model to consider how investors organize to overcome managerial agency in resource evaluation. Two organizational designs are considered: (a) incentivization, wherein a lower-level manager is motivated by an incentive contract to evaluate resources for an investor, and (b) supervision, wherein evaluation is either handled directly or closely monitored by headquarters. The model suggests that competition among investors will be associated with a greater use of supervision and that investors using supervision will tend to make lower offers. This paper also finds that supervision will be more common when valuable resources are rare."
,"Sequential Sampling with Economics of Selection Procedures","Chick, Stephen E. and Frazier, Peter","MANAGEMENT SCIENCE","58","3","550-569","2012","MAR","Simulation;Statistical Analysis;Probability;Diffusion;Decision Analysis;Dynamic Programming;Bayesian","","Sequential sampling problems arise in stochastic simulation and many other applications. Sampling is used to infer the unknown performance of several alternatives before one alternative is selected as best. This paper presents new economically motivated fully sequential sampling procedures to solve such problems, called economics of selection procedures. The optimal procedure is derived for comparing a known standard with one alternative whose unknown reward is inferred with sampling. That result motivates heuristics when multiple alternatives have unknown rewards. The resulting procedures are more effective in numerical experiments than any previously proposed procedure of which we are aware and are easily implemented. The key driver of the improvement is the use of dynamic programming to model sequential sampling as an option to learn before selecting an alternative. It accounts for the expected benefit of adaptive stopping policies for sampling, rather than of one-stage policies, as is common in the literature."
,"A Global Equilibrium Asset Pricing Model with Home Preference","Solnik, Bruno and Zuo, Luo","MANAGEMENT SCIENCE","58","2, SI","273-292","2012","FEB","International Asset Pricing;Home Bias;Familiarity;Regret","","We develop a global equilibrium asset pricing model assuming that investors suffer from foreign aversion, a preference for home assets based on familiarity. Using a utility formulation inspired by regret theory, we derive closed-form solutions. When the degree of foreign aversion is high in a given country, investors place a high valuation on domestic equity, which results in a low expected return. Thus, the model generates the simple prediction that a country's degree of home bias and the expected return of its domestic assets should be inversely related. Our predicted relation between the degree of home bias and a country's expected return has the opposite sign predicted by models that assume some form of market segmentation. Using International Monetary Fund portfolio data, we find that expected returns are negatively related to home bias."
,"Initial Public Offerings as Lotteries: Skewness Preference and First-Day Returns","Green, T. Clifton and Hwang, Byoung-Hyoun","MANAGEMENT SCIENCE","58","2, SI","432-444","2012","FEB","Lotteries;Skewness Preference;Ipo Underpricing","","We find that initial public offerings (IPOs) with high expected skewness experience significantly greater first-day returns. The skewness effect is stronger during periods of high investor sentiment and is related to differences in skewness across industries as well as to time-series variation in the level of skewness in the market. IPOs with high expected skewness earn more negative abnormal returns in the following one to five years. High expected skewness is also associated with a higher fraction of small-sized trades on the first day of trading, which is consistent with a greater shift in holdings from institutions to individuals. The results suggest that first-day IPO returns are related to a preference for skewness."
,"Aggregation and Manipulation in Prediction Markets: Effects of Trading Mechanism and Information Distribution","Jian, Lian and Sami, Rahul","MANAGEMENT SCIENCE","58","1, 1, SI","123-140","2012","JAN","Prediction Markets;Experiments;Market Scoring Rule","","We conduct laboratory experiments on variants of market scoring rule prediction markets, under different information distribution patterns, to evaluate the efficiency and speed of information aggregation, as well as test recent theoretical results on manipulative behavior by traders. We find that markets structured to have a fixed sequence of trades exhibit greater accuracy of information aggregation than the typical form that has unstructured trade. In comparing two commonly used mechanisms, we find no significant difference between the performance of the direct probability-report form and the indirect security-trading form of the market scoring rule. In the case of the markets with a structured order, we find evidence supporting the theoretical prediction that information aggregation is slower when information is complementary. In structured markets, the theoretical prediction that there will be more delayed trading in complementary markets is supported, but we find no support for the prediction that there will be more bluffing in complementary markets. However, the theoretical predictions are not borne out in the unstructured markets."
,"Skill, Luck, and the Multiproduct Firm: Evidence from Hedge Funds","de Figueiredo, Jr., Rui J. P. and Rawley, Evan","MANAGEMENT SCIENCE","57","11","1963-1978","2011","NOV","Organizational Studies;Strategy;Financial Institutions;Investment;Economics;Econometric Dynamics","","We formalize the idea that when managers require external investment to expand, higher-skilled firms will be more likely to diversify in equilibrium, even though managers can exploit asymmetric information about their ability to raise capital from investors. We exploit the timing of new fund launches in the hedge fund industry to distinguish between agency and capability effects in firm product diversification decisions, using a large survivor-bias-free panel data set on the hedge fund industry from 1994 to 2006. Empirically we show that diversifying firms' excess returns are high relative to those of other firms prior to diversification and fall within firm following diversification, but are six basis points higher per month per unit of risk ex post compared to a matched sample of focused firms. The evidence suggests that managers exploit asymmetric information about their own ability to time diversification decisions; yet, the discipline of markets ensures that better firms diversify, on average. The results provide large-sample empirical evidence that agency effects and firm capabilities jointly influence diversification decisions."
,"Dynamic Portfolio Optimization with Transaction Costs: Heuristics and Dual Bounds","Brown, David B. and Smith, James E.","MANAGEMENT SCIENCE","57","10","1752-1770","2011","OCT","Dynamic Programming;Portfolio Optimization","","W e consider the problem of dynamic portfolio optimization in a discrete-time, finite-horizon setting. Our general model considers risk aversion, portfolio constraints (e. g., no short positions), return predictability, and transaction costs. This problem is naturally formulated as a stochastic dynamic program. Unfortunately, with nonzero transaction costs, the dimension of the state space is at least as large as the number of assets, and the problem is very difficult to solve with more than one or two assets. In this paper, we consider several easy-to-compute heuristic trading strategies that are based on optimizing simpler models. We complement these heuristics with upper bounds on the performance with an optimal trading strategy. These bounds are based on the dual approach developed in Brown et al. (Brown, D. B., J. E. Smith, P. Sun. 2009. Information relaxations and duality in stochastic dynamic programs. Oper. Res. 58(4) 785-801). In this context, these bounds are given by considering an investor who has access to perfect information about future returns but is penalized for using this advance information. These heuristic strategies and bounds can be evaluated using Monte Carlo simulation. We evaluate these heuristics and bounds in numerical experiments with a risk-free asset and 3 or 10 risky assets. In many cases, the performance of the heuristic strategy is very close to the upper bound, indicating that the heuristic strategies are very nearly optimal."
,"CEO Overconfidence and Innovation","Galasso, Alberto and Simcoe, Timothy S.","MANAGEMENT SCIENCE","57","8","1469-1484","2011","AUG","Innovation;R&D;Ceo Overconfidence;Managerial Biases","","Are the attitudes and beliefs of chief executive officers (CEOs) linked to their firms' innovative performance? This paper uses a measure of overconfidence, based on CEO stock-option exercise, to study the relationship between a CEO's revealed beliefs about future performance and standard measures of corporate innovation. We begin by developing a career concern model where CEOs innovate to provide evidence of their ability. The model predicts that overconfident CEOs, who underestimate the probability of failure, are more likely to pursue innovation, and that this effect is larger in more competitive industries. We test these predictions on a panel of large publicly traded firms for the years from 1980 to 1994. We find a robust positive association between overconfidence and citation-weighted patent counts in both cross-sectional and fixed-effect models. This effect is larger in more competitive industries. Our results suggest that overconfident CEOs are more likely to take their firms in a new technological direction."
,"Anticipatory Sorting and Gender Segregation in Temporary Employment","Fernandez-Mateo, Isabel and King, Zella","MANAGEMENT SCIENCE","57","6","989-1008","2011","JUN","Organizational Studies;Personnel;Hiring;Gender Stratification","","We examine the roots of gender segregation in the screening process by using a longitudinal data set of candidates considered for temporary projects at a staffing firm and following their progress through the hiring pipeline. Theories invoked to explain gender segregation across jobs traditionally rely on firm-specific human capital and expectations of future commitment to explain this phenomenon. These do not apply in this setting. Yet we find that the staffing firm is more likely to shortlist women for low-paid projects and less likely to do so for high-paid ones. These effects are due to women being considered for different projects than men, and associated at least partially to the level of competition within vacancies. Although client companies also exhibit some gender-sorting behavior in the later steps of the hiring process, they are more likely to prefer women and less likely to sort them into lower-paid projects. Our findings are consistent with anticipatory gender-sorting mechanisms, by which first screeners generate segregation when narrowing down the pool of candidates for later decision makers. We discuss the implications of this case for theories of gender stratification and workplace inequality, especially in mediated labor markets."
,"Efficient Risk Estimation via Nested Sequential Simulation","Broadie, Mark and Du, Yiping and Moallemi, Ciamac C.","MANAGEMENT SCIENCE","57","6","1172-1194","2011","JUN","Simulation;Decision Analysis;Risk;Risk Management;Sequential Analysis","","We analyze the computational problem of estimating financial risk in a nested simulation. In this approach, an outer simulation is used to generate financial scenarios, and an inner simulation is used to estimate future portfolio values in each scenario. We focus on one risk measure, the probability of a large loss, and we propose a new algorithm to estimate this risk. Our algorithm sequentially allocates computational effort in the inner simulation based on marginal changes in the risk estimator in each scenario. Theoretical results are given to show that the risk estimator has a faster convergence order compared to the conventional uniform inner sampling approach. Numerical results consistent with the theory are presented."
